Last Name,First Name,Uci Net,Concentration,Area of Expertise,Programming,Past Experience,Courses Taken
Smith1,Joe1,Smith1,Computer Science,"I have always considered myself to be an inquisitive and passionate individual who wants to work in an intellectually demanding workplace and is interested in finding solutions to real-life problems. Therefore, I have a genuine interest in learning advanced concepts related to core programming concepts and data science. In addition, I possess aptitude for mobile application and software development.   1. During the final year of my undergrad at Sardar Patel Institute of Technology, Mumbai, India, I handled the responsibilities of a Teaching Assistant in the Machine Learning Lab for 3rd-year students, wherein I created quizzes/activities and conducted online doubt-solving sessions. 2. I also served as a Teaching Assistant for data warehousing and mining, where I delivered online presentations and led practical tutorials for juniors.","I have 3+ years of experience in Java and Python programming, as evidenced by working as a software developer at ICICI Lombard and freelancer for tech start-ups in Mumbai for three years. My proficiency in these programming languages has been further reinforced through my five years of experience working on various operating systems such as Windows, macOS, and Ubuntu Linux.",,CourseTitleGrWhenCS�295PKEYSTONE PROJ CSA202303CS�273PMACH LRN & DATA MINA+202303CS�261PDATA STRUCTURESA202303CS�271PARTIFICIAL INTELLIGA202292CS�260PALGORITHMSA202292CS�253PADV PROG PROB SOLVA+202292
Smith2,Joe2,Smith2,"healthcare IoT, ML","I am really eager to take TA responsibilities in ML/AI courses to strengthen my knowledge in them (I took AI/ML courses and passed them with A's). Moreover, I have TA experience in the following courses: 1- Embedded systems and Internet of Things 2- Linear Algebra My responsibilities were mainly correcting students' exam papers and preparing Homework for them as a member of the teaching team.","If I have to rate my experience with programming languages and OSs from 1 to 5, the following list demonstrates my skills: Python: 4 C++: 3 Java: 3 Windows: 4 Linux: 3",CourseTitleInstructorPositionWhenICS�6DBoolean logic & Discrete structuresIrene GasskoReader2022-springICS�31Intro to Python ProgrammingShannon AlfaroTA2022-fallICS�6BBoolean Logic and Discrete StructurGopi Meenakshisundaram TA2023-winter,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303CS�274APROB LEARNINGA202303CS�230DIST COMPUTER SYSA202303ICS�399UNIVERSITY TEACHINGS202292ICS�398ATA TRAINING SEMINARS202292CS�273AMACHINE LEARNINGA202292CS�244INTR EMBED UBIQ SYSA+202292ICS�399UNIVERSITY TEACHINGS202214CS�295BRAIN-INSPIRED LRNGA+202214CS�261DATA STRUCTURESA202214
Smith3,Joe3,Smith3,Computer Engineering,"My area of expertise is computer architecture and system design. I have worked with programming languages for several years now. During my undergraduate studies at the American University of Beirut, I TA'ed 2 online courses: Introduction to programming in Python and Computer Organization. In both of these courses, I was helping students with their assignments, answering their questions, and grading their submissions.","I have taken courses on programming using VHDL, C, C++, Python, MATLAB, and SQL. I have also used most of these languages in projects (academic and non-academic) beyond the scope of the courses. I have used C++ to run machine learning programs on a Jetson and used C to run audio detection programs on microcontrollers such as the Arduino Nano. I also have extended hands-on experience with Python, as I have used it for many projects and previously TA'ed a course for it. I am also currently using VHDL for my graduate research. I have also extended experience with Linux and Windows operating systems, as I have used them both during my undergraduate and graduate studies for all of my projects.",,
Smith4,Joe4,Smith4,Participatory Design,"My area of specialization leans towards participatory design methods, game development, data analysis, HCI, culture, communities, diversity, inclusion, video games.   I have a major in business and organizations, so I am good in areas of project management, organizations, and processes.  I have very basic Python and SQL skills.",None.,CourseTitleInstructorPositionWhenGDIM�165Games entrepreneurshipJustin BritchTA2022-springINF�288Capstone PortfolioDarren DenenbergTA2022-summerGDIM�131Data Analytics in GamesGloria MarkTA2020-winterINF�284Advanced DesignKatie SalenTA2023-winter,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303ICS�399UNIVERSITY TEACHINGS202292ICS�399UNIVERSITY TEACHINGS202214ICS�399UNIVERSITY TEACHINGS202203ICS�399UNIVERSITY TEACHINGS202192ICS�399UNIVERSITY TEACHINGS202114ICS�399UNIVERSITY TEACHINGS202103INF�207SSEM RESRCH & WRITNGS202014INF�295TPCS IN CONN LEARNA+202003INF�251CMPTR SPPD COOP WRKA202003ICS�399UNIVERSITY TEACHINGS202003INF�295DIGITAL METHODSA201992ICS�399UNIVERSITY TEACHINGS201992INF�261SOC ANLY OF CMPTINGA201914INF�205QUAN RSCH MTHDS-ISA+201914INF�232RESEARCH IN HCCA201903INF�203QUAL RSCH MTHDSA+201903INF�201RES METH FOR IN4MTXA+201892ICS�399UNIVERSITY TEACHINGS201892ICS�398ATA TRAINING SEMINARS201892
Smith5,Joe5,Smith5,Computer Science,"I obtained my B.S. (Hons) in Computer Engineering from Penn State in May 2020.  I have taken several writing and technical writing courses during my time at Penn State. I am also worked as a Teaching Assistant for ICS 139w under Dr. Neil Young during Fall 2021 and worked as a TA under Prof. Wayne Hayes for ICS 6B. Currently working under Prof. Dennenberg for ICS 139w. I was also an undergrad TA for Python based programming classes (ICS 31, ICS 32/32A, ICS 33 equivalent) for 4 semesters during my time at Penn State. I graded weekly assignments, held office hours (both in person and online), assisted graduate TAs and prof in conducting labs/discussions and additionally in few of the semesters I�ve stepped in to grade final projects to assist the professor if there were two many projects to grade in a shorter period of time (Final projects were usually graded by the Professor and Graduate TAs).   I have been waived off the TOEP/English proficiency requirements because I have obtained 4 year US degree (Undergrad Degree at Penn State) within the past few years.",Have 5 years of Python experience.  Working knowledge of C and C++.  Haven�t take SQL classes but used it briefly in one of my another class.  Have MATLAB experience while using it in my Computer Vision and Digital Image Processing class. I primarily use MacOS and have used Linux as a part of course needs. Have used Windows for my personal computer as well.,CourseTitleInstructorPositionWhenICS�139WCritical Writing on Information TecNeil YoungTA2021-fallICS�6BBoolean Algebra and LogicWayne HayesTA2022-winterICS�139WCritical Writing on Information TecDarren DenenbergTA2022-springICS�139WCritical Writing on Information TecDarren DenenbergTA2022-fall,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303CS�260FUND ALGORITHMSB+202303ICS�399UNIVERSITY TEACHINGS202292CS�284AAI IN BIO AND MEDA+202292CS�274EDEEP GENRTV MODELSA+202292CS�232CMPTR & COMM NTWRKSA202292ICS�399UNIVERSITY TEACHINGS202214CS�274CNRL NTWKS&DEEP LRNGA202214CS�272STATISTICAL NLPA-202214ICS�399UNIVERSITY TEACHINGS202203CS�274APROB LEARNINGB202203CS�221INFO RETRIEVALA-202203ICS�398ATA TRAINING SEMINARS202192CS�295ENTREPRENEURSHIP IA202192CS�273AMACHINE LEARNINGB202192CS�206SCI COMPUTINGA-202192
Smith6,Joe6,Smith6,,"My Area of expertise includes but isn't limited to, Back end, data and information systems, Fullstack development, Microservices, and System design with a focus on building large-scale distributed systems on the cloud. I am also proficient in Algorithms, Data structures, and problem-solving. I have over 3 years of experience in software development in companies like Amazon and Cisco. I have worked with Tech stacks ranging from Golang, Java, C++, and Python to AWS, Ansible, and CI/CD.   I discovered a passion for teaching when I began organizing workshops for incoming undergraduates on various core computer science concepts. These experiences helped me refine my understanding and learn essential skills associated with disseminating complex information faster for beginners to learn and I have grown to love mentoring young students. I have also published articles on platforms such as GeeksForGeeks.org(https://auth.geeksforgeeks.org/user/adith%20bharadwaj/articles) and section.io(https://www.section.io/engineering-education/authors/adith-bharadwaj/), exploring various topics such as data analytics, computer networks, operating systems, and storage. While researching these domains, I was exposed to the incredible innovations in computer science and their widespread implications on society, which fortified my aspirations to pursue a career in the field.","I have over 3 years of Professional experience with Java, C/C++, and DBMS including SQL, and NoSql. My primary operating systems are Linux(Ubuntu, Fedora), and macOS. I am proficient in Operating systems concepts and have professionally worked with cloud-based systems.   Having 3+ years of experience at companies like Amazon and Cisco, I have gained valuable experience in the field of software development. I have worked on building applications used by over 25 million people and with this experience I have gained skills and expertise in my field. At Amazon, I led a large-scale effort to migrate data from MySQL to DynamoDB (AWS) for a Microservice that handles user comments. My responsibilities included initial design for end-to-end migration, developing REST APIs, validating data, load testing, and implementing underlying logic for migration, which increased availability by 35% and reduced latency by 60%. During my time at Amazon, by mentoring interns and junior developers and interacting with a diverse team from various backgrounds, I recognized the importance of interpersonal/communication skills and learning to work outside my comfort zone.",CourseTitleInstructorPositionWhenINF�171Introduction to Health InformaticsRenee GarettTA2023-winterINF�121Software DesignAndre Van der HoekTA2023-spring,CourseTitleGrWhenCS�295PKEYSTONE PROJ CSA202303CS�273PMACH LRN & DATA MINA+202303CS�261PDATA STRUCTURESA202303CS�271PARTIFICIAL INTELLIGA202292CS�253PADV PROG PROB SOLVA+202292CS�220PDATABAS & DATA MGMTB+202292
Smith7,Joe7,Smith7,,1/2. GPGPU Computing 3. I do not have experience teaching online courses.,"1. I have experience in C/C++ and CUDA. I have been using both extensively over the past year and a half as part of my involvement in two research projects.   2. I am most experienced with macOS, and I have limited experience with both Linux and Windows.   3. I have experience with C/C++, CUDA, Python (Including Keras, Pandas, Scikit-learn, and Matplotlib), R",CourseTitleInstructorPositionWhenICS�139WICS 139W: Critical Writing Dr. Matthew BietzTA2022-fallGDIM�129Games For ImpactDr. Kurt SquireTA2023-winterICS�139WICS 139W: Critical WritingDr. Darren DenenbergTA2023-spring,CourseTitleGrWhenICS�399UNIVERSITY TEACHINGS202303ICS�398ATA TRAINING SEMINARS202303CS�241ADV COMPILER CONSTRA+202303CS�230DIST COMPUTER SYSA202303ICS�399UNIVERSITY TEACHINGS202292CS�273AMACHINE LEARNINGA+202292CS�256SYSTEMS AND MLA202292CS�206SCI COMPUTINGA-202292
Smith8,Joe8,Smith8,environmental statistics,"my interests are environmental statistics. i like coding, and applications of stats  but i do not like thinking about the efficiency of my code . i am confident with theory , survey methods/ sampling, distributions, transformations, stochastic processes, multivariate data analysis, system dynamics, bayesian stats, martingales, MCMC , missing data, GAMMS,  very confident in R, SAS , Stata i dont have much experience in anything to do with financial statistics or biostatistics.  i have taught in person in front of a class and also 1:1 in person in a drop in session, 1:1 tutoring over zoom.","5 mins experience of SQL, i work with windows. half an hour of C++",CourseTitleInstructorPositionWhenSTAT�67INTRO PROB&STAT/CSDavid ArmstrongReader2020-fallSTAT�120BIntroduction to Probability and StaWeining ShenReader2020-winterSTAT�68Intro to STATSDave ArmstrongTA2021-fallSTAT�7Intro to STATS / BIOSTATS Dave ArmstrongTA2021-summer,CourseTitleGrWhenSTATS�280SEMINAR IN STATSS202303STATS�230STATS COMPUT METHODA-202303ICS�399UNIVERSITY TEACHINGS202303STATS�280SEMINAR IN STATSS202292ICS�399UNIVERSITY TEACHINGS202292STATS�280SEMINAR IN STATSS202214STATS�275STAT CONSULTINGA+202214ICS�399UNIVERSITY TEACHINGS202214STATS�295SPATIAL STATISTICSA202203STATS�280SEMINAR IN STATSS202203STATS�220BADV PROB&STATTOPICSA202203ICS�399UNIVERSITY TEACHINGS202203STATS�295INF DISEASE MODELNGA202192STATS�280SEMINAR IN STATSS202192STATS�220AADV PROB&STATTOPICSB+202192ICS�399UNIVERSITY TEACHINGS202192STATS�295STATS LRNING IN DSA-202114STATS�280SEMINAR IN STATSS202114STATS�212STATS METHODS IIIB+202114STATS�200CINT PROB & STAT THYA-202114STATS�280SEMINAR IN STATSS202103STATS�225BAYESIAN STATISTICSA+202103STATS�211STATS METHOD IIA202103STATS�200BINT PROB & STAT THYA-202103STATS�280SEMINAR IN STATSS202092STATS�210STATS METHODS IA202092STATS�200AINT PROB & STAT THYA202092ICS�399UNIVERSITY TEACHINGS202092
Smith9,Joe9,Smith9,Computer Science,"1 I was a Teaching Assistant for the Department of Physics at UC Irvine for two quarters, i.e. Fall 2022 & Winter 2023. I worked under Professors Lee, Guerra, and Wu for classes Physics 3A, 3B, and 7C. My responsibilities included conducting discussions for 100+ students each quarter, conducting and grading quizzes as well as grading midterms and final exams.  2) This is my third quarter of graduate studies in ICS and I have maintained a consistent 4.0 GPA even after pursuing complicated courses like CS231P, CS253P, CS261P, CS271P, and CS273P. 3) I was a Teaching Assistant for my undergraduate course 'CSL802- Distributed Computing Lab' where I was responsible for creating a list of experiments that students would perform for the duration of the course. I also assisted students through various phases of their course projects. 4) During my role as a Data Engineer at Tata Consultancy Services, I was presented with a Colleague Appreciation Award for co-creating a month-long training program on ""Using SQL & Python to create efficient Azure data workflows in an Apache Spark-enabled distributed environment"" for newer associates across the organization. 5) During my undergraduate degree, I was among the 200 students across Asia-Pacific chosen by Intel Corporation as their Student Ambassadors for Artificial Intelligence (AI) for 2020. I was picked after three rigorous rounds of interviews about Applied AI, conducted by several AI researchers at Intel. My responsibilities included conducting online seminars and hands-on workshops on AI and its subdomains, alongside collaborating on AI projects with peers from the Intel DevMesh community. For instance, my undergraduate institution commended me for conducting a series of online lectures on ""Using Intel's OpenVINO toolkit to optimize Deep Learning models"" for 100+ fellow students. I also conducted a session on ""Training & deploying ML models using Azure ML Studio"" as a Microsoft Student Partner. 5) Throughout my undergraduate and professional tenure, I have developed an interest and taught seminars and workshops in Artificial Intelligence, Python Programming, SQL, and Distributed Computing.","1) I am also proficient in SQL due to my work experience as a Data Engineer where I was responsible to optimize CI/CD pipelines for ETL processes using SQL, Python and Apache Spark. I am proficient in C++ due to my predilection for competitive coding, participation in ACM ICPC and other regional coding contests as well as my personal interest in solving problems related to Data Structures and Algorithms. I am familiar with Java & C through my undergraduate courses and projects in Object-oriented Programming, Compiler Design, etc. 2) I have used Windows OS ever since I first laid my hands on a computer, so I am quite comfortable with using PowerShell, Microsoft Office Suite, Progressive Web Apps, etc. As a programmer, I have been using the Ubuntu distribution of the Linux OS for the past 6 years. I am comfortable with using the GCC Compiler, installing and operating network surveillance or third party services like OpenMPI as well as training Machine Learning models using Kernel Optimization through the Ubuntu terminal. 3) I have implemented projects where data was managed through a variety of databases which include traditional SQL-oriented databases like Oracle DB or MS SQL as well as the modern NoSQL databases like MongoDB, Amazon DynamoDB, Couchbase DB, etc. or distributed databases like Apache HBase, Azure CosmosDB, etc.",CourseTitleInstructorPositionWhenPHYSICS�3ABASIC PHYSICS IHoward LeeTA2023-winterPHYSICS�3BBASIC PHYSICS IIRuqian WuTA2023-winterPHYSICS�7CCLASSICAL PHYSICSHoward LeeTA2022-fallPHYSICS�7CCLASSICAL PHYSICSArnold GuerraTA2022-fall,CourseTitleGrWhenCS�295PKEYSTONE PROJ CSA202303CS�273PMACH LRN & DATA MINA+202303CS�261PDATA STRUCTURESA202303CS�271PARTIFICIAL INTELLIGA202292CS�253PADV PROG PROB SOLVA+202292CS�231PPARL DIST COMP PROFA202292
Smith10,Joe10,Smith10,,"My area of expertise is in the human approach to the sciences. My work focuses on the impacts and social issues surrounding and contributing to games.  In CS, I have no special qualifications.  I have taught several times online. As a Ph.D. student, I taught one hybrid course (150 students cap), one synchronous online course (150 students cap), and one asynchronous online course (250 students cap).  I was an undergrad UTeach instructor at UCI, where I taught a 1 unit P/NP class to 20 students asynchronously. I taught synchronously as a TA for the US 83/84 Summer Bridge/Freshman Edge program at UCI.",Familiar with basic Java and C++ Familiar with Windows and macOS Attended Girls Who Code,CourseTitleInstructorPositionWhenINF�161Social Analysis of ComputingRoderic CrooksTA2021-fallGDIM�53Roleplaying Games and ImprovisationAaron TrammellTA2022-winterGDIM�41�ICS�060Games and SocietyConstance SteinkuehlerTA2022-springGDIM�25Game Design FundamentalsRose OTA2022-summer,"CourseTitleGrWhenINF�295PLAY,MAGIC&IDENTITYA202303INF�295GAMES AND CULTUREA202292INF�290RESEARCH SEMINARS202214INF�207SSEM RESRCH & WRITNGS202214INF�205QUAN RSCH MTHDS-ISA202214ICS�399UNIVERSITY TEACHINGS202214INF�290RESEARCH SEMINARS202203INF�232RESEARCH IN HCCA202203INF�203QUAL RSCH MTHDSA+202203ICS�399UNIVERSITY TEACHINGS202203INF�261SOC ANLY OF CMPTINGA+202192INF�201RES METH FOR IN4MTXA202192ICS�399UNIVERSITY TEACHINGS202192ICS�398ATA TRAINING SEMINARS202192"
