UUID,Last Name,First Name,Uci Net,Email,Phone,Citizen,Url,EPT Taken,EPT Reason,Test Score,Degree,Candidacy,Department,Gpa,Campus Ta,Campus Tayear,Ics398a,Ics398a Year,Academic Probation,Incomplete,Grade,Masters,Concentration,Submit Date,Position,Hired By,Hired Position,Area of Expertise,Programming,Past Experience,Course Prefs,Past Experience(|),Course Prefs(|),Courses,Courses(|),Verified,Activated,Finalized,poststamp,ICS Job
6c421f4b-d9d4-4808-9a83-af0851298b78,Smith19,Joe19,Smith19,Smith19@uci.edu,9495555568,FOR,http://Smith19.com,no,Plan to take it in the future,,MS,no,School of Engineering,0,enrolled,,enrolled,,no,no,no,,Computer Engineering,4/26/2023,Either,,,"Programming in Python is considered my expertise. But I can grasp and work on any programming language in least amount of time with ease. Languages I know include: Python, C, C++, C#,  VHDL, Basics of SQL. Received certification for the course Data Structures and Algorithms. Computer Communication Networks and Computer Networks lab were taken as a part of Undergraduate studies. I do not have any experience teaching online courses.","Operating Systems:  I have mostly used and worked using a Windows laptop for all my project work during Undergraduate studies and during my work at Collins Aerospace for various tasks. I have used Linux (Ubuntu) for one of my project tasks during my work experience at Collins Aerospace. Languages: Python:  Worked on automation in various projects by developing tools to make software development easier which include:     1. A tool that generated binary configuration tables based on a data provided in CSV files and calculating parameters based on ARINC  653      Communication protocol used in an FCC of a helicopter.     2. Developed a tool that extracts data from IBM DOORS and Synergy, store it in an Object-Oriented database created using ZODB package     3. Was a part of Tool developed using PyQT for calculating some mechanical parameters for an extended mechanical team. C#: Developed code in C# for a part inventory Management System for Collins Aerospace as a part of upgrade to the application written in     VB6. The access to database was using SQL where data was stored in Oracle Database. SQL: Developed code in C# for a part inventory Management System for Collins Aerospace as a part of upgrade to the application written in     VB6. The access to database was using SQL where data was stored in Oracle Database. C++: Had taken C++ as a part of elective in the undergraduate curriculum. Practiced implementation on HackerRank and received      certification which is attached in the following LinkedIn profile.  C:  Was a part of curriculum in undergraduate studies.     1.Was part of Secure Boot project as a support in deploying it on an NXP board with ARM processor where programming was done in C.    2.Had a laboratory practice exam also as a part of Curriculum along with theory classes.     3.MSP430 Microcontroller workshop implementation was carried out in C.    4.Laboratory for ARM Cortex M3 Microcontroller was carried out in C    5.Practiced implementation on HackerRank and received certification which is attached in the following LinkedIn profile.  Java: Have undertaken a course to learn Java and practiced implementation on HackerRank to receive certification which is attached in the      following LinkedIn Profile. VHDL: Had hands on experience in programming with VHDL as my final year project was based on converting  an Analog Circuit to work on      a digital medium i.e., an Xilinx Spartan FPGA by coding in VHDL . LinkedIn Profile: www.linkedin.com/in/ bhavya-chunchu-31843a93",CourseTitleInstructorPositionWhenINF 124Internet applications EngineeringMohammad MoshirpourTA2023-winterICS 31Intro to ProgrammingMohammad MoshirpourTA2023-spring,CourseTakenGradeCS 143AYICS 46YICS 31YICS 33Y,INF124|Internet applications Engineering|Mohammad Moshirpour|TA|2023-winter|ICS 31|Intro to Programming|Mohammad Moshirpour|TA|2023-spring|||||||||||,COMPSCI 143A|Y||ICS 46|Y||ICS 31|Y||ICS 33|Y||,,,new,Activated,yes,2023-04-26 16:30:35,
ffd08cdf-0ddf-4953-a89c-26e86bb8966b,Smith33,Joe33,Smith33,Smith33@uci.edu,9495555582,US,http://Smith33.com,,,0,PhD,no,Informatics,0,enrolled,,enrolled,,no,no,no,,"health informatics, HCI",4/26/2023,TA,,,"User experience research, design and evaluation is my area of expertise using tools wireframing/UX tools (adobe XD, figma) and qualitative coding tools (Nvivo, Dedoose). I also have a background in statistical data analysis using R and Python (undergraduate major was systems and information engineering, graduated 2018). I would say my strengths for a TA role lie in leading project based courses that include the design lifecycle and facilitating quality discussion, critical analysis and writing skills. I work well with interdisciplinary groups of students. My past work experience/academic research focused on health data & health information technology. Courses like In4matx 171, 172 would be aligned with my research interests (anything healthcare, CSCW related) or project based and HCI courses like In4matx 131, 132, 133, 134 would also be a good fit. I also think I could be a good fit for any of the MHCID courses. UCI Fall 2021, I took INF231 User Interface Design and Evaluation and I TA'd for INF171 Medical Informatics. At my undergraduate institution I took a variety of upper level courses that applied the above skills (User Experience Design, Human Factors Design for Community Health, Data Analysis using Python, Human Machine Interface, Mobile Sensing Technologies for Mental Health - many of which were project based courses.)","Statistical/data analysis with R and Python - proficient but not expert SQL - proficient, basic",CourseTitleInstructorPositionWhenINF 171Medical InformaticsKai ZhengTA2021-fall,CourseTakenGradeINF 172NINF 171NINF 132NINF 131N,In4matx 171|Medical Informatics|Kai Zheng|TA|2021-fall||||||||||||||||,In4matx 172|N||In4matx 171|N||In4matx 132|N||In4matx 131|N||,CourseTitleGrWhenSTATS 202STATS METH DATA IIA-202303INF 290RESEARCH SEMINARS202303INF 261SOC ANLY OF CMPTINGA+202292INF 295HCI AND DISTRACTIONA202214INF 207SSEM RESRCH & WRITNGS202214INF 205QUAN RSCH MTHDS-ISA+202214INF 203QUAL RSCH MTHDSA+202203CS 273AMACHINE LEARNINGA-202203INF 231USER INT DES&EVALA+202192INF 201RES METH FOR IN4MTXA+202192ICS 399UNIVERSITY TEACHINGS202192ICS 398ATA TRAINING SEMINARS202192,STATS 202|STATS METH DATA II|A-|202303^INF 290|RESEARCH SEMINAR|S|202303^INF 261|SOC ANLY OF CMPTING|A+|202292^INF 295|HCI AND DISTRACTION|A|202214^INF 207S|SEM RESRCH & WRITNG|S|202214^INF 205|QUAN RSCH MTHDS-IS|A+|202214^INF 203|QUAL RSCH MTHDS|A+|202203^CS 273A|MACHINE LEARNING|A-|202203^INF 231|USER INT DES&EVAL|A+|202192^INF 201|RES METH FOR IN4MTX|A+|202192^ICS 399|UNIVERSITY TEACHING|S|202192^ICS 398A|TA TRAINING SEMINAR|S|202192,new,Activated,yes,2023-04-26 14:01:48,
d0706f02-8c9d-4f0c-804f-cf3a652be431,Smith40,Joe40,Smith40,Smith40@uci.edu,9495555589,FOR,http://Smith40.com,yes,Plan to take it in the future,Pass,PhD,no,Informatics,0,yes,2022,yes,,no,no,no,"2013/05/03, Computer Science, Indiana University",Programming,4/27/2023,Reader,,,"10+ years of software development in the areas of (but not limited to) client/web dev, server dev, mobile/cross-platform, and IoT/Embedded System. Have two master degrees on Networks and Distributed Systems, and Computer Science. Previously helped designing the course IN4MATX 148 with Arduino technology.","Expert in Java and web-related technologies with 10 years experience of developing professional and academic projects. Have working knowledge in medium-sized projects with other programming languages such as Python, JavaScript, and Arduino C. Have working knowledge of various Internet/W3C standards, software frameworks, system platforms and database.",CourseTitleInstructorPositionWhenSWE 242PNETWORK PROGRAMMING ALBERTO KRONE-MARTINSTA2022-fallSWE 250PWEB PROGRAMMING ALBERTO KRONE-MARTINSTA2022-fallINF 148Ubiquitous ComputingKylie PepplerTA2023-winterINF 132Project in HCIStacy BranhamTA2023-spring,CourseTakenGradeICS 45JN,SWE 242P|NETWORK PROGRAMMING| ALBERTO KRONE-MARTINS|TA|2022-fall|SWE 250P|WEB PROGRAMMING| ALBERTO KRONE-MARTINS|TA|2022-fall|IN4MATX 148|Ubiquitous Computing|Kylie Peppler|TA|2023-winter|IN4MATX 132|Project in HCI|Stacy Branham|TA|2023-spring|,I&C SCI 45J|N|||||||||||,CourseTitleGrWhenINF 207SSEM RESRCH & WRITNGS202303ICS 399UNIVERSITY TEACHINGS202303INF 295CLIMATE XRA+202292INF 201RES METH FOR IN4MTXA202292ICS 399UNIVERSITY TEACHINGS202292ICS 398ATA TRAINING SEMINARS202292,INF 207S|SEM RESRCH & WRITNG|S|202303^ICS 399|UNIVERSITY TEACHING|S|202303^INF 295|CLIMATE XR|A+|202292^INF 201|RES METH FOR IN4MTX|A|202292^ICS 399|UNIVERSITY TEACHING|S|202292^ICS 398A|TA TRAINING SEMINAR|S|202292,new,Activated,yes,2023-04-27 21:21:31,"TypeQuarterJobProjectAccount ManagerPICourseStatusH OfferSum '23GSR GSRNubia AndradekpeppleracceptJobSum '23GSRGSRAndrade, NubiakpepplercreatedJobSum '23GSRGSRAndrade, Nubiakpepplercreated"
e2bf0d4a-d3ea-47cc-9179-6a4450eebd3e,Smith43,Joe43,Smith43,Smith43@uci.edu,9495555592,US,http://Smith43.com,no,Plan to take it in the future,,PhD,no,Informatics,0,yes,2022,enrolled,2022,no,no,no,"MSW , University of Chicago, June 2018",,4/21/2023,TA,,,"I have expertise in survey research, qualitative methods, and social science frameworks.","I have experience SPSS, Access, Dedoose, Qualtrics, and NVivo.","CourseTitleInstructorPositionWhenICS 3Internet, Tech, and Society Kat Brewster TA2022-fallICS 161Social Analysis of Computing Kat Brewster TA2023-winterGDIM 129Special Topics in Advanced Game DesTheresa Tanenbaum TA2023-spring",CourseTakenGradeINF 172N,"ICS 3|Internet, Tech, and Society |Kat Brewster |TA|2022-fall|ICS 161 |Social Analysis of Computing |Kat Brewster |TA|2023-winter|GDIM 129|Special Topics in Advanced Game Des|Theresa Tanenbaum |TA|2023-spring||||||",INF 172|N|||||||||||,CourseTitleGrWhenINF 203QUAL RSCH MTHDSA202303ICS 399UNIVERSITY TEACHINGS202303INF 231USER INT DES&EVALA+202292INF 201RES METH FOR IN4MTXA202292ICS 399UNIVERSITY TEACHINGS202292ICS 398ATA TRAINING SEMINARS202292,INF 203|QUAL RSCH MTHDS|A|202303^ICS 399|UNIVERSITY TEACHING|S|202303^INF 231|USER INT DES&EVAL|A+|202292^INF 201|RES METH FOR IN4MTX|A|202292^ICS 399|UNIVERSITY TEACHING|S|202292^ICS 398A|TA TRAINING SEMINAR|S|202292,new,Activated,yes,2023-04-21 13:54:54,TypeQuarterJobProjectAccount ManagerPICourseStatusH OfferSum '23GSR GSRNubia AndradeampiperacceptJobSum '23GSRGSRampipercreated
a57392f2-1cd9-44ec-a15e-e48e4e67cd5a,Smith49,Joe49,Smith49,Smith49@uci.edu,9495555598,FOR,http://Smith49.com,yes,,6,PhD,no,Computer Science,0,enrolled,,enrolled,,no,no,no,,,5/9/2023,Reader,,,machin learning digital signal processing speech recognition natural language processing image processing,I have fairly solid background in Java and C++. Good knowledge in C (although have not used it for a while) and Unix (for daily uses mostly) and very limited background in VHDL and none in Scheme  I do not have a professional background in Windows Operating Systems.,CourseTitleInstructorPositionWhenICS 45CPROGRAMMING IN C/C++ AS A SECONDAlex ThorntoneReader2020-fallICS 53Principles in System DesignIan HarrisReader2021-springCS 141Programming LanguagesRaymond KlefstadTA2023-springCS 141Programming LanguagesRaymond KlefstadReader2022-spring,CourseTakenGradeCS 141YCS 171NCS 175NCS 53N,ICS45C|PROGRAMMING IN C/C++ AS A SECOND|Alex Thorntone|Reader|2020-fall|ICS53|Principles in System Design|Ian Harris|Reader|2021-spring|CS141|Programming Languages|Raymond Klefstad|TA|2023-spring|CS141|Programming Languages|Raymond Klefstad|Reader|2022-spring|,CS 141|Y||CompSci 171|N||CompSci 175|N||cs53|N||,CourseTitleGrWhenCS 290RESEARCH SEMINARS202303CS 290RESEARCH SEMINARS202292CS 290RESEARCH SEMINARS202214CS 290RESEARCH SEMINARS202203CS 290RESEARCH SEMINARS202192CS 290RESEARCH SEMINARS202114CS 261DATA STRUCTURESB202114CS 259SSEM DESIGN SCIENCES202114CS 290RESEARCH SEMINARS202103CS 259SSEM DESIGN SCIENCES202103CS 206SCI COMPUTINGA-202103CS 290RESEARCH SEMINARS202092CS 268INTRO OPTIMIZATIONB+202092,CS 290|RESEARCH SEMINAR|S|202303^CS 290|RESEARCH SEMINAR|S|202292^CS 290|RESEARCH SEMINAR|S|202214^CS 290|RESEARCH SEMINAR|S|202203^CS 290|RESEARCH SEMINAR|S|202192^CS 290|RESEARCH SEMINAR|S|202114^CS 261|DATA STRUCTURES|B|202114^CS 259S|SEM DESIGN SCIENCE|S|202114^CS 290|RESEARCH SEMINAR|S|202103^CS 259S|SEM DESIGN SCIENCE|S|202103^CS 206|SCI COMPUTING|A-|202103^CS 290|RESEARCH SEMINAR|S|202092^CS 268|INTRO OPTIMIZATION|B+|202092,new,Activated,yes,2023-05-09 14:46:27,
dd3fd2aa-153f-425d-a246-7c31204e4984,Smith79,Joe79,Smith79,Smith79@uci.edu,9495555628,FOR,http://Smith79.com,yes,,107/120,MS,no,MCS,0,no,,no,,no,no,no,,Computer Science,4/19/2023,TA,,,"I am proficient in Software Engineering, Computer Architecture, Operating Systems, Database Management, Data Structures and Algorithms. During my undergraduate study, I have completed and enjoyed courses like Computer Networks, Cryptography, Analysis of Algorithms, Data Science, Machine Learning, Statistics, Blockchain Technology and Project Management. I have working experience in programming languages including Java, C++, Python and Javascript. I have also worked with database technologies (MySQL and PostgreSQL). I have led and worked in teams during Hackathons and university projects.   I have some experience in teaching at my local tuition center where I used to teach Mathematics(Advanced Trigonometry and Algebra) to grade 10 through grade 12 students. Additionally, we had regular seminars and discussions at my university where we used to present the projects we have worked on.  I have an interest in teaching because I strongly believe that the best way to understand concepts thoroughly is through teaching.","I have worked with Java and PostgreSQL in my internships. In my undergraduate university projects and assignments, I worked with C++, MySQL and other programming languages including Python, Javascript etc.   I have working knowledge of Linux (Ubuntu 20.04) as that is dual booted in my laptop. I am also proficient with Windows and MacOS. I am also familiar with other distributions of Linux like ArchLinux and other flavors.",CourseTitleInstructorPositionWhenEECS 112ORG OF DIGITAL COMPNader BagherzadehReader2022-fallEECS 31LDIGITAL DESIGNSalma ElmalakiReader2023-winter,CourseTakenGradeCS 143AY10INF 172Y9ICS 31Y10INF 43Y10,EECS 112|ORG OF DIGITAL COMP|Nader Bagherzadeh|Reader|2022-fall|EECS 31L|DIGITAL DESIGN|Salma Elmalaki|Reader|2023-winter|||||||||||,CompSci   143A|Y|10|In4matx   172|Y|9|I&C Sci   31|Y|10|In4matx   43|Y|10|,CourseTitleGrWhenCS 295PKEYSTONE PROJ CSA202303CS 273PMACH LRN & DATA MINA202303CS 261PDATA STRUCTURESA202303CS 271PARTIFICIAL INTELLIGA-202292CS 253PADV PROG PROB SOLVA+202292CS 250PCOMP SYS ARCHITECTB+202292,CS 295P|KEYSTONE PROJ CS|A|202303^CS 273P|MACH LRN & DATA MIN|A|202303^CS 261P|DATA STRUCTURES|A|202303^CS 271P|ARTIFICIAL INTELLIG|A-|202292^CS 253P|ADV PROG PROB SOLV|A+|202292^CS 250P|COMP SYS ARCHITECT|B+|202292,new,Activated,yes,2023-04-19 15:57:22,
12abe85f-6332-4a6d-b0dc-e7517a048fc0,Smith81,Joe81,Smith81,Smith81@uci.edu,9495555630,FOR,http://Smith81.com,yes,Plan to take it in the future,,PhD,no,Statistics,0,yes,2022,yes,2022,no,no,no,07/21/2022 Bocconi University,,4/21/2023,TA,,,"During my Bachelor's and Master's I studied Data Science. In particular, I focused on the theory of Statistics, programming in Python, SQL and R, and interpreting the results for economic or business purposes.  During these years I completed several projects that required skills and knowledge in Computer Science, Statistics, and Economics/Finance/Marketing.  In general, I am interested in technology and innovation, with particular attention given to machine learning and artificial intelligence. My main interest is to develop statistical models to solve real-world problems. I consider myself a fast learner and I am also open to studying new topics such as neuroscience, biology, medicine, and physics; which nowadays can be easily combined with statistics and computer science.  I recently had some experience as a reader and TA both for undergraduate and graduate courses. I have gained experience in all the tasks a TA is required to perform: grading, teaching (discussion), material preparation, and Canvas/Gradescope organization.","I have attended two courses about SQL and completed a project where using this language (combined with Python and R) was required. I also have some experience with Rust and Julia.  I have always had Windows as OS of my computers and I don't have experience with any other OS (Even though think I will adopt Linux in the future).  I am proficient in Rmrksdown and Latex and I have intermediate knowledge of some HTML and some other softwares that could be related to the analysis of data (such as Excel/Google Sheets, Tableau, and Stata)",CourseTitleInstructorPositionWhenSTAT 120AINTRO PROB STATS IWeining ShenReader2022-fallSTAT 8Intro to Bio StatsDavid S ArmstrongTA2023-winterSTAT 240PMUTLIVAR STAT METHZHAOXIA YUTA2023-spring,CourseTakenGradeSTAT 111NSTAT 120BNSTAT 110N,STATS 120A|INTRO PROB STATS I|Weining Shen|Reader|2022-fall|STATS 8|Intro to Bio Stats|David S Armstrong|TA|2023-winter|STATS 240P|MUTLIVAR STAT METH|ZHAOXIA YU|TA|2023-spring||||||,Stats 111|N||Stats 120B|N||Stats 110|N|||||,CourseTitleGrWhenSTATS 280SEMINAR IN STATSS202303STATS 255STAT METH SURVIVALB+202303STATS 211STATS METHOD IIA202303STATS 200BINT PROB & STAT THYA202303STATS 295SPATIAL ANALYSISA202292STATS 280SEMINAR IN STATSS202292STATS 210STATS METHODS IA202292STATS 200AINT PROB & STAT THYB+202292ICS 398ATA TRAINING SEMINARS202292,STATS 280|SEMINAR IN STATS|S|202303^STATS 255|STAT METH SURVIVAL|B+|202303^STATS 211|STATS METHOD II|A|202303^STATS 200B|INT PROB & STAT THY|A|202303^STATS 295|SPATIAL ANALYSIS|A|202292^STATS 280|SEMINAR IN STATS|S|202292^STATS 210|STATS METHODS I|A|202292^STATS 200A|INT PROB & STAT THY|B+|202292^ICS 398A|TA TRAINING SEMINAR|S|202292,new,Activated,yes,2023-04-21 12:43:18,
13cc7004-6092-4cc0-8e89-58c3b8a1ff0b,Smith114,Joe114,Smith114,Smith114@uci.edu,9495555663,FOR,http://Smith114.com,no,Received an exemption,,PhD,no,Computer Science,0,yes,2022,yes,,no,no,no,"Imperial College London, Nov 2020","ML, NLP",6/19/2023,Either,,,"1. Natural Language Processing, Text Generation, Multimodal Sentimental Analysis 2. Crosslingual Semantic Evaluation of Machine Translation is Published on 2021 NACCL,       Guided Automatic Python Code Generation is published on 2023 EACL Workshop 3.  N/A","1. Java-3 years, python-3 years, C++-1 year, SQL-1 year 2. Operated on the Ubuntu, macOS daily. 3. Matlab-2 years, Latex--2 years",CourseTitleInstructorPositionWhenCS 169Intro to OptimizationEric MjolsnessTA2022-fall,CourseTakenGradeCS 273AYAICS 53NN/ACS 178NN/ACS 271PN,CS169|Intro to Optimization|Eric Mjolsness|TA|2022-fall||||||||||||||||,CS 273A|Y|A|I&C SCI 53|N|N/A|CS 178|N|N/A|CS 271P|N||,CourseTitleGrWhenCS 241ADV COMPILER CONSTRA+202303CS 230DIST COMPUTER SYSA202303CS 202APPLIED CRYPTYB+202303ICS 399UNIVERSITY TEACHINGS202292ICS 398ATA TRAINING SEMINARS202292CS 273AMACHINE LEARNINGA202292CS 206SCI COMPUTINGA202292,CS 241|ADV COMPILER CONSTR|A+|202303^CS 230|DIST COMPUTER SYS|A|202303^CS 202|APPLIED CRYPTY|B+|202303^ICS 399|UNIVERSITY TEACHING|S|202292^ICS 398A|TA TRAINING SEMINAR|S|202292^CS 273A|MACHINE LEARNING|A|202292^CS 206|SCI COMPUTING|A|202292,new,Activated,yes,2023-06-19 12:52:37,
90ef2d69-d653-46dc-b395-ed81e746c431,Smith129,Joe129,Smith129,Smith129@uci.edu,9495555678,FOR,http://Smith129.com,no,Received an exemption,,PhD,no,Computer Science,0,yes,2022,yes,2022,no,no,no,"12/15/2020, University of Illinois at Urbana-Champaign",,4/19/2023,Either,,,"In computer science, I have done several projects in the area of applied machine learning. I've also taken a number of Computer Science courses (such as machine learning,  and artificial intelligence) at UCI. I have great engineering skills, such as debugging and optimizing algorithms. Additionally, I have great communication skills and also a solid foundation in mathematics. I have experience in mentoring online courses during my undergraduate years. I teach students Calculus I and Differential Equations online.",I have done projects with Java and Python so these are the most familiar languages to me. I have also taken data structure courses in C++ language. I am also familiar with the R language.  I am familiar with both Windows and MacOS operating systems.,CourseTitleInstructorPositionWhenCS 268POptimization Modeling Eric MjolsnessTA2022-fallCSE 90Systems Engineering and Tech CommunIrene GasskoTA2023-winterCS 171Intro to Artificial IntelligenceKalev KaskTA2023-spring,CourseTakenGradeCS Y271CS Y273CS Y268,CompSci 268P|Optimization Modeling| Eric Mjolsness|TA|2022-fall|CSE 90|Systems Engineering and Tech Commun|Irene Gassko|TA|2023-winter|CompSci 171|Intro to Artificial Intelligence|Kalev Kask|TA|2023-spring||||||,CompSci|Y|271|CompSci|Y|273|CompSci|Y|268||||,CourseTitleGrWhenCS 263ANALYSIS OF ALGRTHMA202303CS 230DIST COMPUTER SYSA202303ICS 398ATA TRAINING SEMINARS202292CS 273AMACHINE LEARNINGA-202292CS 271INTRO ARTIFCL INTELA202292CS 244INTR EMBED UBIQ SYSA202292,CS 263|ANALYSIS OF ALGRTHM|A|202303^CS 230|DIST COMPUTER SYS|A|202303^ICS 398A|TA TRAINING SEMINAR|S|202292^CS 273A|MACHINE LEARNING|A-|202292^CS 271|INTRO ARTIFCL INTEL|A|202292^CS 244|INTR EMBED UBIQ SYS|A|202292,new,Activated,yes,2023-04-19 16:12:11,
1f337711-6f9e-4b41-a9f9-b5f01b146a30,Smith47,Joe47,Smith47,Smith47@uci.edu,9495555596,FOR,http://Smith47.com,no,Plan to take it in the future,,MS,no,Statistics,3,no,,no,,no,no,yes,,,4/19/2023,Reader,,,"in statistics no, but I've been tutored in person for elementary school and junior high school students.",self taught SQL I've learned R,,,||||||||||||||||||||,,CourseTitleGrWhenSTATS 230STATS COMPUT METHODA202303STATS 210BSTAT METHODS IIB+202303STATS 295SPATIAL ANALYSISB-202292STATS 280SEMINAR IN STATSS202292STATS 210STATS METHODS IB202292CS 206SCI COMPUTINGB+202292STATS 295ML FOR DATA SCIENCEA202214STATS 280SEMINAR IN STATSS202214STATS 210CSTAT METHODS IIIB+202214STATS 200CINT PROB & STAT THYI202214ICS 399UNIVERSITY TEACHINGS202214STATS 210BSTAT METHODS IIC+202203STATS 205BAYES DATA ANALYSISB+202203STATS 200BINT PROB & STAT THYB202203STATS 295SCI COMP WITH RB-202192STATS 280SEMINAR IN STATSS202192STATS 210STATS METHODS IC+202192STATS 200AINT PROB & STAT THYB+202192,STATS 230|STATS COMPUT METHOD|A|202303^STATS 210B|STAT METHODS II|B+|202303^STATS 295|SPATIAL ANALYSIS|B-|202292^STATS 280|SEMINAR IN STATS|S|202292^STATS 210|STATS METHODS I|B|202292^CS 206|SCI COMPUTING|B+|202292^STATS 295|ML FOR DATA SCIENCE|A|202214^STATS 280|SEMINAR IN STATS|S|202214^STATS 210C|STAT METHODS III|B+|202214^STATS 200C|INT PROB & STAT THY|I|202214^ICS 399|UNIVERSITY TEACHING|S|202214^STATS 210B|STAT METHODS II|C+|202203^STATS 205|BAYES DATA ANALYSIS|B+|202203^STATS 200B|INT PROB & STAT THY|B|202203^STATS 295|SCI COMP WITH R|B-|202192^STATS 280|SEMINAR IN STATS|S|202192^STATS 210|STATS METHODS I|C+|202192^STATS 200A|INT PROB & STAT THY|B+|202192,new,Activated,yes,2023-04-19 15:51:33,
